sample,morpho_family
TPPC1W15,Linyphiidae
TPPC1W16,Theridiidae
TPPC1W17,Tetragnathidae
TPPC1W18,Tetragnathidae
TPPC1W19,Araneidae
TPPC1W2,Deinopidae
TPPC1W20,Deinopidae
TPPC1W21,Tetragnathidae
TPPC1W3,Tetragnathidae
TPPC1W5,Tetragnathidae
TPPC1W6,Uloboridae
TPPC1W7,Pholcidae
TPPC1W8,Tetragnathidae
TPPC1W9,Tetragnathidae
TPPC2BS31,Linyphiidae
TPPC2BS61,Salticidae
TPPC2LL2,Hahniidae
TPPC2LL8,Theridiosomatidae
TPPC2N1,Araneidae
TPPC2N10,Linyphiidae
TPPC2N11,Uloboridae
TPPC2N12,Theridiidae
TPPC2N13,Theridiosomatidae
TPPC2N14,Tetragnathidae
TPPC2N15,Theridiosomatidae
TPPC2N16,Theridiidae
TPPC2N17,Theridiidae
TPPC2N2,Thomisidae
TPPC2N3,Tetragnathidae
TPPC2N4,Psechridae
TPPC2N5,Theridiidae
TPPC2N6,Theridiidae
TPPC2N8,Linyphiidae
TPPC2N9,Linyphiidae
TPPC2PF4,Zodariidae
TPPC2PF6,Zodariidae
TPPC2PF7,Hahniidae
TPPC2W1,Linyphiidae
TPPC2W2,Tetragnathidae
TPPC2W5,Theridiidae
TPPC2W6,Theridiidae
TPPC2W7,Araneidae
TPPD1BS21,Thomisidae
TPPD1BS22,Tetragnathidae
TPPD1BS23,Theridiidae
TPPD1BS31,Uloboridae
TPPD1BS61,Linyphiidae
TPPD1N1,Theridiidae
TPPD1NA20,Tetragnathidae
TPPD1NA21,Uloboridae
TPPD1PF2,Pisauridae
TPPD1PF3,Zodariidae
TPPD1W1,Theridiidae
TPPD1W2,Tetragnathidae
TPPD1W4,Araneidae
TPPD1W5,Araneidae
TPPD1W6,Tetragnathidae
TPPE1BS21,Tetragnathidae
TPPE1BS22,Salticidae
TPPE1BS32,Thomisidae
TPPE1BS41,Tetragnathidae
TPPE1BS51,Tetragnathidae
TPPE1BS53,Salticidae
TPPE1BS71,Thomisidae
TPPE1D1,Clubionidae
TPPE1LL1,Zodariidae
TPPE1LL2,Oonopidae
TPPE1LL4,Hahniidae
TPPE1N7,Cheiracanthiidae
TPPE1PF22,Zodariidae
